URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?http://open.umich.edu/education/,Find U-M Open Educational Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/oernetwork,African Health OER Network | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si/coursera-programming-everybody/winter2014/materials,SI / Coursera - Programming for Everybody | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/tcaup,Architecture + Urban Planning | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si/coursera-programming-everybody/winter2014/sessions,SI / Coursera - Programming for Everybody | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/em,Department of Emergency Medicine | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/resources/instructional-methods-health-professions-education/summer2013/materials,Coursera - Instructional Methods in Health Professions Education | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si/resources,Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/familymed,Department of Family Medicine | Open.Michigan,Working to meet the needs of patients. Serving as a model for primary care education and research.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa/resources,Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/business,Business | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa/resources/animal-diversity-web/2012,Animal Diversity Web | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;animal;animal diversity;museum of zoology;taxomomy;zoology,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/msa,Medical School Administration | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/tcaup/arch324/winter2009,ARCH 324 - Structures 2 | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;architecture;beams;concrete;Open Educational Resource;structural engineering;structures,education;opencourseware;ocw;,ARCH 324 - Structures 2,University of Michigan; Ann Arbor,Free, Two lectures; one recitation weekly,No, Peter von Buelow,This course covers the basic principles of elastic behavior for different materials such as wood; steel; concrete; and composite materials and compares the properties and applications of materials generally., Undergraduate,?
http://open.umich.edu/education/si/coursera-ihts/summer2012,SI / Coursera - Internet History; Technology; and Security | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;history;information;networks;society;technology,education;opencourseware;ocw;,SI / Coursera - Internet History; Technology; and Security,N/A,N/A,N/A,N/A, Charles Severance,The impact of technology and networks on our lives; culture; and society continues to increase. The very fact that you can take this course from anywhere in the world requires a technological infrastructure that was designed; engineered; and built over the past sixty years., Undergraduate,?
http://open.umich.edu/education/med/resources/instructional-methods-health-professions-education/summer2013/sessions,Coursera - Instructional Methods in Health Professions Education | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa/resources/anishinaabe-language-and-literature/2011,Anishinaabe Language and Literature | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;American Culture;Anishinaabe;Anishinaabemowin;deep blue;digital preservation;ojibwe,education;opencourseware;ocw;,Anishinaabe Language and Literature,University of Michigan; Ann Arbor,Free,N/A,No, Margaret Noori,This resource contains links to the Anishinaabe Language and Literature collection in Deep Blue. You can learn more about the recordings by visiting the Ojibwe.net website.,N/A,?
http://open.umich.edu/education/dent,Dentistry | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/nursing/palliative-care,Palliative Care | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa/resources/gen-chemistry-lab/fall2012,General Chemistry Laboratory Techniques: Precipitation and Water Purity | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/business/introduction-finance/summer2012,FIN / Coursera - Introduction to Finance | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;business;economics;finance,education;opencourseware;ocw;,FIN / Coursera - Introduction to Finance,University of Michigan; Ann Arbor,Free,N/A,No, Gautman Kaul,This course is primarily devoted to the fundamental principles of valuation. We will learn and apply the concepts of time value of money and risk to understand the major determinants of value creation. We will use both theory and real world examples to demonstrate how to value any asset., Undergraduate,?
http://open.umich.edu/education/si/coursera-social-network-analysis/2012,SI / Coursera - Social Network Analysis | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;information;networks;society,education;opencourseware;ocw;,SI / Coursera - Social Network Analysis,University of Michigan; Ann Arbor,Free,N/A,No, Lada Adamic,Everything is connected: people; information; events and places; all the more so with the advent of online social media. A practical way of making sense of the tangle of connections is to analyze them as networks., Graduate,?
http://open.umich.edu/education/med/resources/diabetes-101/2013,Diabetes 101: Taking Charge | Open.Michigan,Diabetes 101: Taking Charge is an education handbook for adult patients with diabetes.  The handbook provides tools and suggestions that help patients in dealing with their diabetes.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;diabetes;patient education;patient handbook,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/soe,Education | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/dent/dent-mep,MedEdPORTAL | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa/resources/michigan-education-through-learning-objects,Michigan Education through Learning Objects | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;conference abstracts;cross-disciplinary;learning objects;learning repository;MELO;MELO 3D;training materials,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/resources/drug-receptor/2010,Drug Receptor Interactions | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;dose response;drug interactions;drug receptors;ligand;pharmacology,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa/resources/psnm/2012,Parallel Spectral Numerical Methods | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;differential equations;fortran;fourier transform;matlab;methods;nite precision arithmetic;numerical;open textbooks;parallel;python;spectral,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si/si110/winter2009,SI 110 - Introduction to Information Studies | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;digital divide;information control;information science;intellectual property,education;opencourseware;ocw;,SI 110 - Introduction to Information Studies,University of Michigan; Ann Arbor,Free, Ninety-minute classes; twice a week,No, Robert Frost,The vaunted Information Revolution is more than Web surfing; Net games; and dotcoms. Indeed; it is the foundation for an economic and social transformation on a scale comparable to the Industrial Revolution of the nineteenth century., Undergraduate,?
http://open.umich.edu/education/dent/dent-mep/hanau-articulator/2010,Hanau Articulator Training | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;articulator simulation;dental education;hanau articulator,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/engin,Engineering | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/dent/dent-mep/health-case-studies/2009,HEALth - Health Education through Active Learning | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;clinical care simulations;dentistry;evidence based dentistry;genetics;genetics education in dentistry;genome technology;interactive learning,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si/si410/fall2010,SI 410 - Ethics and Information Technology | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;avatars;ethics;information technology;privacy;wiki,education;opencourseware;ocw;,SI 410 - Ethics and Information Technology,University of Michigan; Ann Arbor,Free, Two lectures and one lab each week,No, Paul Conway,Ethics and Information Technology focuses on the ethical dilemmas that exist where human beings; information objects; and social computing technologies interact., Undergraduate,?
http://open.umich.edu/education/med/resources/teach-effectively/2012,Empowering the Medical School Educator to Teach More Effectively | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;instruction;instructional design;learning theory;pedagogy;professional development;teaching,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/dent/dent-mep/integrative-knowledge/2010,The Integrative Knowledge Portfolio Process: A Program Guide for Educating Reflective Practitioners and Lifelong Learners | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;Continuing Medical Education;education;ethics;Integrative Learning;leadership;Lifelong Learning;Professional;professional development;Professional Portfolio;Reflective Practice;Te4Q,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si,Information | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/soe/resources,Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/law,Law | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/dent/resources,Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/engin/che,Chemical Engineering | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
