URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://open.umich.edu/education/med,Medical | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The mission of the U-M Medical School is to educate students; physicians; and biomedical scholars and to provide a spectrum of comprehensive knowledge; research; patient care and service of the highest quality to the people of the State of Michigan and beyond.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/mlibrary,MLibrary | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The mission of the University of Michigan Library (MLibrary) is to support; enhance; and collaborate in the instructional; research; and service activities of the faculty; students; and staff; and contribute to the common good by collecting; organizing; preserving; communicating; and sharing the record of human knowledge.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/mtd,Music; Theatre; and Dance | Open.Michigan,Founded in 1880; the University of Michigan School of Music; Theatre & Dance is one of the finest performing arts schools in the United States.,Founded in 1880; the University of Michigan School of Music; Theatre & Dance is one of the finest performing arts schools in the United States.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/nursing,Nursing | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,"The University of Michigan""'""s School of Nursing is a great place to prepare for a nursing career. It is a top-ranked nursing school with tremendous academic and clinical strengths. The Nursing faculty are some of the best thinkers; researchers; clinicians; and practitioners in the world.",open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/pharmacy,Pharmacy | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The College of Pharmacy prepares students to become pharmacists and pharmaceutical scientists who are leaders in any setting. The College provides a quality education that effectively integrates critical thinking; problem-solving and leadership skills.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/sph,Public Health | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The University of Michigan School of Public Health seeks to create and disseminate knowledge with the aim of preventing disease and promoting the health of populations in the United States and worldwide.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/rackham,Rackham | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,"Rackham is the central administration unit for many graduate programs at the University of Michigan.  The Rackham Graduate School works with faculty; students and staff across the University of Michigan to promote excellence in graduate education for over 8;200 students in 108 Ph.D.; 87 master""'""s; and 34 certificate programs.",open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/ssw,Social Work | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The University of Michigan School of Social Work is a community of internationally recognized faculty; gifted students; and dedicated alumni who share a common objective: to create social change and promote social justice through excellence in research; education; and practice.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/umflint,UM-Flint | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,Established in 1956; University of Michigan-Flint is a four-year public university and one of three University of Michigan campuses (Ann Arbor and Dearborn). UM-Flint is situated on 76 acres along the north and south banks of the Flint River in the heart of a revitalized downtown Flint.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/student-orgs-projects,Student Organizations and Projects | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,Here you can find resources from student led ogranizations and projects. With over 1;200 groups on campus; student organizations are a vibrant part of the University of Michigan community. These student-run groups provide an outlet for students to engage in a variety of their interests outside the classroom.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/privacy-and-terms-use,Privacy and Terms of Use | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The University of Michigan has developed the following statements to ensure your privacy and security; and to uphold the rights of users and contributors alike. Through our terms of use we strive to achieve the highest levels of use and reuse of educational materials while respecting the rights of users and contributors.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/contact,Contact | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,"Got questions? We""'""ve got answers! For general inquiries and comments; please contact the Open.Michigan Team by filling out the form below. Please Note: Open.Michigan is not an accrediting body at U-M and does not grant degrees or certificates.",open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/schools-colleges,Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/connect,Connect with the Community | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,"Get involved! You can attend our events throughout the year. The U-M community working on open projects and sharing resources grows larger each day. Find out more about these projects and organizations and Open.Michigan""'""s own efforts to support education at U-M.",open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/share,Share Your Content | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,Start sharing: learn how to use openly-licensed content to create presentations; websites; and other resources that you can legally share with educators; collaborators; and self-learners worldwide. In a hurry?,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/engin/che/che466/fall2008/highlights,CHE 466 - Process Dynamics and Controls | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/engin/che/che466/fall2008/sessions,CHE 466 - Process Dynamics and Controls | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/law/household-politics-conflict-early-modern-england/2012/materials,Household Politics: Conflict in Early Modern England | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/category/keywords/anatomy,anatomy | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/category/keywords/social-work,social work | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/ssw/resources/michigan-journal-social-work/2010/sessions,Michigan Journal of Social Work and Social Welfare | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/mtd/coursera-classical-music/summer2013,Music / Coursera - Introduction to Classical Music | Open.Michigan,About the Course This course will focus on Western classical music of the eighteenth and nineteenth centuries; it is designed for people who are passionate about classical music but who have not necessarily had any advanced training or taken any college-level music courses.,About the Course This course will focus on Western classical music of the eighteenth and nineteenth centuries; it is designed for people who are passionate about classical music but who have not necessarily had any advanced training or taken any college-level music courses.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;classical music;Coursera;Music;Western classical music,education;opencourseware;ocw;,Music / Coursera - Introduction to Classical Music,University of Michigan; Ann Arbor,Free, 8 weeks,No, Kevin Korsyn,About the Course This course will focus on Western classical music of the eighteenth and nineteenth centuries; it is designed for people who are passionate about classical music but who have not necessarily had any advanced training or taken any college-level music courses., Undergraduate,1
http://open.umich.edu/education/med/em,Department of Emergency Medicine | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The Department of Emergency Medicine has nationally recognized clinical expertise in trauma; chest pain; toxicology; brain injuries and pediatric emergency medicine. The Department is a full service Level 1 adult and pediatric trauma center staffed and equipped to deal with all urgent and emergency problems.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/node/4005/zip_download,Zip download | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/med/resources,Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/printmail/education/med/em/gemc,Send page by email | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/engin/eecs,Electrical Engineering and Computer Science | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The Electrical Engineering and Computer Science (EECS) Department of the University of Michigan College of Engineering provides its students an education with the relevance; depth; and breadth of related experience that will serve them well for the rest of their lives.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/node/1157/zip_download,Zip download | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
http://open.umich.edu/education/nursing/resources/gemc-nursing-redirect/2012,Ghana Emergency Medicine Collaborative | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,Current emergency care in Ghana is sub-optimal with significant delays to definitive care and high morbidity and mortality. The Ghanaian government has recently invested in physical infrastructure for emergency care at major teaching hospitals; but the human resources to provide care are inadequate.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;emergency medicine;trauma;trauma care;trauma management,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
http://open.umich.edu/education/nursing/palliative-care/palliative-care-redirect/2012,"Workshops in End-of-Life Training for Health Professionals in Children""'""s Hospitals | Open.Michigan",Open initiatives supporting free and open educational resources from the University of Michigan.,This series of workshops provides skills to pediatric physicians; nurses; respiratory therapists and other health professionals that will improve their ability to care for pediatric patients who are dying in the hospital. We have developed three workshops which each take about 90 minutes.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;end of life;faculty development;pediatric palliative care;symptom control;videos,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/student-orgs/michigan-wikipedians/2012,Michigan Wikipedians | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The first student group of its kind in the country; Michigan Wikipedians supports the use of Wikipedia on campus for educational purposes. Similar to the Open.Michigan initiative; Michigan Wikipedians fosters the development of educational content that can be used globally under open licenses.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;michigan wikipedians;wikipedia,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/student-orgs-projects/student-and-course-sponsored-oer-projects,Student and Course-sponsored OER Projects | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,"Since before Open.Michigan""'""s inception; University of Michigan students; through coursework and self-interest; have been contributing to the concept of; research on; and applications for Open.Michigan; OER and open education. We salute their efforts and share with you their excellent work products.",open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/connect/community,Community | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The Open.Michigan community continues to grow around Open Educational Resources (OER); Free/Libre and Open Source Software (FLOSS); and Open Access (OA) to scholarly publications. As other individuals; departments; schools and organizations in the U-M scholarly community join in; you will find them listed in this section.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
https://open.umich.edu/wiki/Main_Page,Open.Michigan Wiki,Main Page;Adding Captions to Videos;AttributionPolicy;Audio and Video Tools;CiviCRM;Course audit;Distribution Flow and Model for OER;Drupal Publishing Steps;Letter Templates;LibraryBox;Process for OER Search Requests,education;opencourseware;elearning;,,,,,,,,,,N/A,0
http://open.umich.edu/education/lsa/aaptis-491/winter2009,AAPTIS/MENAS 491 - Modern Islamic Movements in Comparative Perspectives | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,This course examines the rise and evolution of Islamic political movements in different areas of the Muslim world. After a brief introduction to Islam as a religious; cultural; and political tradition; the course will focus on the phenomenon of so-called “political Islam” and political movements associated with it.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;comparative;Islamic;Movements,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
http://open.umich.edu/education/lsa/chemistry216/spring2012,Chemistry 216 - The Synthesis and Characterization of Carbonyl Compounds | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,CHEM 216 builds on the experimental approach started in CHEM 211. Students participate in planning exactly what they are going to do in the laboratory by being given general goals and directions that have to be adapted to fit the specific project they will be working on.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;chemistry;chromatography;laboratory;organic chemistry;spectroscopy,education;opencourseware;ocw;,Chemistry 216 - The Synthesis and Characterization of Carbonyl Compounds,University of Michigan; Ann Arbor,Free, 1 hour lecture and 4 hour lab- twice a week,No, Ginger Shultz,CHEM 216 builds on the experimental approach started in CHEM 211. Students participate in planning exactly what they are going to do in the laboratory by being given general goals and directions that have to be adapted to fit the specific project they will be working on., Undergraduate,1
