URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://ocw.mit.edu/courses/find-by-department/,Find Courses by Department | MIT OpenCourseWare | Free Online Course Materials,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-002-circuits-and-electronics-spring-2007/,Circuits and Electronics | Electrical Engineering and Computer Science | MIT OpenCourseWare,6.002 is designed to serve as a first course in an undergraduate electrical engineering (EE); or electrical engineering and computer science (EECS) curriculum. At MIT; 6.002 is in the core of department subjects required for all undergraduates in EECS. The course introduces the fundamentals of the lumped circuit abstraction. Topics covered include: resistive elements and networks; independent and dependent sources; switches and MOS transistors; digital abstraction; amplifiers; energy storage elements; dynamics of first- and second-order networks; design in the time and frequency domains; and analog and digital circuits and applications. Design and lab exercises are also significant components of the course. 6.002 is worth 4 Engineering Design Points. The 6.002 content was created collaboratively by Profs. Anant Agarwal and Jeffrey H. Lang. The course uses the required textbook Foundations of Analog and Digital Electronic Circuits. Agarwal; Anant; and Jeffrey H. Lang. San Mateo; CA: Morgan Kaufmann Publishers; Elsevier; July 2005. ISBN: 9781558607354.,Fundamentals of the lumped circuit abstraction;Resistive elements and networks;independent and dependent sources;switches and MOS devices;digital abstraction;amplifiers;and energy storage elements;Dynamics of first- and second-order networks;design in the time and frequency domains;analog and digital circuits and applications;Electrical Engineering;Electronics,education;learning;free;,Circuits and Electronics ,MIT Open CourseWare,N/A,any time,No,Agarwal; Anant ,6.002 is designed to serve as a first course in an undergraduate electrical engineering (EE); or electrical engineering and computer science (EECS) curriculum. At MIT; 6.002 is in the core of department subjects required for all undergraduates in EECS. The course introduces the fundamentals of the lumped circuit abstraction. Topics covered include: resistive elements and networks; independent and dependent sources; switches and MOS transistors; digital abstraction; amplifiers; energy storage elements; dynamics of first- and second-order networks; design in the time and frequency domains; and analog and digital circuits and applications. Design and lab exercises are also significant components of the course. 6.002 is worth 4 Engineering Design Points. The 6.002 content was created collaboratively by Profs. Anant Agarwal and Jeffrey H. Lang. The course uses the required textbook Foundations of Analog and Digital Electronic Circuits. Agarwal; Anant; and Jeffrey H. Lang. San Mateo; CA: Morgan Kaufmann Publishers; Elsevier; July 2005. ISBN: 9781558607354.,Undergraduate,?
http://ocw.mit.edu/courses/mathematics/18-06sc-linear-algebra-fall-2011/,Linear Algebra | Mathematics | MIT OpenCourseWare,This course covers matrix theory and linear algebra; emphasizing topics useful in other disciplines such as physics; economics and social sciences; natural sciences; and engineering.,matrix theory;linear algebra;systems of equations;vector spaces;determinants;eigenvalues;similarity;positive definite matrices;least-squares approximations;stability of differential equations;networks;Fourier transforms;Markov processes;Linear Algebra,education;learning;free;,Linear Algebra ,MIT Open CourseWare,N/A,any time,No,Strang; Gilbert ,This course covers matrix theory and linear algebra; emphasizing topics useful in other disciplines such as physics; economics and social sciences; natural sciences; and engineering.,Undergraduate,?
http://ocw.mit.edu/courses/most-visited-courses/,Most Visited Courses | MIT OpenCourseWare | Free Online Course Materials,These MIT OpenCourseWare courses received the most visits during the last 30 days. ,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,These MIT OpenCourseWare courses received the most visits during the last 30 days. ,N/A,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,Structure and Interpretation of Computer Programs | Electrical Engineering and Computer Science | MIT OpenCourseWare,This course introduces students to the principles of computation. Upon completion of 6.001; students should be able to explain and apply the basic methods from programming languages to analyze computational systems; and to generate computational solutions to abstract problems. Substantial weekly programming assignments are an integral part of the course. This course is worth 4 Engineering Design Points.,programming;Scheme;abstraction;recursion;iteration;object oriented;structure;interpretation;computer programs;languages;procedures;Computer Science;Computation;Theory of Computation,education;learning;free;,Structure and Interpretation of Computer Programs ,MIT Open CourseWare,N/A,any time,No,Grimson; Eric and Szolovits; Peter and Darrell; Trevor ,This course introduces students to the principles of computation. Upon completion of 6.001; students should be able to explain and apply the basic methods from programming languages to analyze computational systems; and to generate computational solutions to abstract problems. Substantial weekly programming assignments are an integral part of the course. This course is worth 4 Engineering Design Points.,Undergraduate,?
http://ocw.mit.edu/courses/anthropology/21a-232j-rethinking-the-family-sex-and-gender-fall-2010/,Rethinking the Family; Sex; and Gender | Anthropology | MIT OpenCourseWare,Through investigating cross-cultural case studies; this course introduces students to the anthropological study of the social institutions and symbolic meanings of family; household; gender; and sexuality. We will explore the myriad forms that families and households take and evaluate their social; emotional; and economic dynamics.,family;sex;gender;anthropology;household;sexuality;social institutions;Women s Studies;Gender Studies;Cultural Anthropology;Social Anthropology,education;learning;free;,Rethinking the Family; Sex; and Gender ,MIT Open CourseWare,N/A,any time,No,Paxson; Heather ,Through investigating cross-cultural case studies; this course introduces students to the anthropological study of the social institutions and symbolic meanings of family; household; gender; and sexuality. We will explore the myriad forms that families and households take and evaluate their social; emotional; and economic dynamics.,Undergraduate,?
http://ocw.mit.edu/courses/mathematics/18-06-linear-algebra-spring-2010/,Linear Algebra | Mathematics | MIT OpenCourseWare,This is a basic subject on matrix theory and linear algebra. Emphasis is given to topics that will be useful in other disciplines; including systems of equations; vector spaces; determinants; eigenvalues; similarity; and positive definite matrices.,matrix theory;linear algebra;systems of equations;vector spaces;determinants;eigenvalues;similarity;positive definite matrices;least-squares approximations;stability of differential equations;networks;Fourier transforms;Markov processes;Linear Algebra,education;learning;free;,Linear Algebra ,MIT Open CourseWare,N/A,any time,No,Strang; Gilbert ,This is a basic subject on matrix theory and linear algebra. Emphasis is given to topics that will be useful in other disciplines; including systems of equations; vector spaces; determinants; eigenvalues; similarity; and positive definite matrices.,Undergraduate,?
http://ocw.mit.edu/courses/chemistry/,Chemistry | MIT OpenCourseWare | Free Online Course Materials,MIT Chemistry courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Chemistry courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/biology/7-344-directed-evolution-engineering-biocatalysts-spring-2008/,Directed Evolution: Engineering Biocatalysts | Biology | MIT OpenCourseWare,Directed evolution has been used to produce enzymes with many unique properties. The technique of directed evolution comprises two essential steps: mutagenesis of the gene encoding the enzyme to produce a library of variants; and selection of a particular variant based on its desirable catalytic properties. In this course we will examine what kinds of enzymes are worth evolving and the strategies used for library generation and enzyme selection. We will focus on those enzymes that are used in the synthesis of drugs and in biotechnological applications. This course is one of many&nbsp;Advanced Undergraduate Seminars&nbsp;offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,evolution;biocatalyst;mutation;library;recombination;directed evolution;enzyme;point mutation;mutagenesis;DNA;evolution;gene;complementation;affinity;phage;ribosome display;yeast surface display;bacterial cell surface display;IVC;FACS;active site;Biomaterials;Cell Biology;Genetics,education;learning;free;,Directed Evolution: Engineering Biocatalysts ,MIT Open CourseWare,N/A,any time,No,Love; Kerry ,Directed evolution has been used to produce enzymes with many unique properties. The technique of directed evolution comprises two essential steps: mutagenesis of the gene encoding the enzyme to produce a library of variants; and selection of a particular variant based on its desirable catalytic properties. In this course we will examine what kinds of enzymes are worth evolving and the strategies used for library generation and enzyme selection. We will focus on those enzymes that are used in the synthesis of drugs and in biotechnological applications. This course is one of many&nbsp;Advanced Undergraduate Seminars&nbsp;offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Undergraduate,?
http://ocw.mit.edu/courses/special-programs/sp-693-gender-race-and-the-complexities-of-science-and-technology-a-problem-based-learning-experiment-spring-2009/,Gender; Race; and the Complexities of Science and Technology: A Problem-Based Learning Experiment | Special Programs | MIT OpenCourseWare,What can we learn about science and technology&ndash;and what can we do with that knowledge? Who are &quot;we&quot; in these questions?&ndash;whose knowledge and expertise gets made into public policy; new medicines; topics of cultural and political discourse; science education; and so on? How can expertise and lay knowledge about science and technology be reconciled in a democratic society? How can we make sense of the interactions of living and non-living; humans and non-humans; individual and collectivities in the production of scientific knowledge and technologies? The course takes these questions as entry points into an ever-growing body of work to which feminist; anti-racist; and other critical analysts and activists have made significant contributions. The course also takes these questions as an invitation to practice challenging the barriers of expertise; gender; race; class; and place that restrict wider access to and understanding of the production of scientific knowledge and technologies. In that spirit; students participate in an innovative; problem-based learning (PBL) approach that allows them to shape their own directions of inquiry and develop their skills as investigators and prospective teachers. At the same time the PBL cases engage students  critical faculties as they learn about existing analyses of gender; race; and the complexities of science and technology; guided by individualized bibliographies co-constructed with the instructors and by the projects of the other students. Students from all fields and levels of preparation are encouraged to join the course.,gender;race;science;technology;problem-based learning;Gender Studies;Teaching and Education,education;learning;free;,Gender; Race; and the Complexities of Science and Technology: A Problem-Based Learning Experiment ,MIT Open CourseWare,N/A,any time,No,Taylor; Peter and Fausto-Sterling; Anne ,What can we learn about science and technology&ndash;and what can we do with that knowledge? Who are &quot;we&quot; in these questions?&ndash;whose knowledge and expertise gets made into public policy; new medicines; topics of cultural and political discourse; science education; and so on? How can expertise and lay knowledge about science and technology be reconciled in a democratic society? How can we make sense of the interactions of living and non-living; humans and non-humans; individual and collectivities in the production of scientific knowledge and technologies? The course takes these questions as entry points into an ever-growing body of work to which feminist; anti-racist; and other critical analysts and activists have made significant contributions. The course also takes these questions as an invitation to practice challenging the barriers of expertise; gender; race; class; and place that restrict wider access to and understanding of the production of scientific knowledge and technologies. In that spirit; students participate in an innovative; problem-based learning (PBL) approach that allows them to shape their own directions of inquiry and develop their skills as investigators and prospective teachers. At the same time the PBL cases engage students  critical faculties as they learn about existing analyses of gender; race; and the complexities of science and technology; guided by individualized bibliographies co-constructed with the instructors and by the projects of the other students. Students from all fields and levels of preparation are encouraged to join the course.,Graduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-081-human-memory-and-learning-fall-2002/,Human Memory and Learning | Brain and Cognitive Sciences | MIT OpenCourseWare,Surveys the literature on the cognitive and neural organization of human memory and learning. Includes consideration of working memory and executive control; episodic and semantic memory; and implicit forms of memory. Emphasizes integration of cognitive theory with recent insights from functional neuroimaging (e.g.; fMRI and PET).,cognitive;neural organization;human memory;learning;working memory;executive control;episodic;semantic memory;functional neuroimaging;fMRI;PET;Cognitive Science;Neuroscience,education;learning;free;,Human Memory and Learning ,MIT Open CourseWare,N/A,any time,No,Wagner; Anthony ,Surveys the literature on the cognitive and neural organization of human memory and learning. Includes consideration of working memory and executive control; episodic and semantic memory; and implicit forms of memory. Emphasizes integration of cognitive theory with recent insights from functional neuroimaging (e.g.; fMRI and PET).,Graduate,?
http://ocw.mit.edu/courses/biology/7-344-tumor-suppressor-gene-p53-how-the-guardian-of-our-genome-prevents-cancer-fall-2010/index.htm,Tumor Suppressor Gene p53: How the Guardian of our Genome Prevents Cancer | Biology | MIT OpenCourseWare,Cancer is a leading cause of death worldwide. Cancer involves uncontrolled cell growth; resistance to cell death; failure to differentiate into a particular cell type; and increased cellular motility. A family of gate-keeper genes; known as tumor suppressor genes; plays important roles in preventing the initiation and progression of cancer. Among these; p53 is the most famous. Because of its essential role in maintaining genomic integrity; p53 is often called the guardian of the genome. During this course; we will study how p53 serves as a pivotal tumor suppressor gene in preventing cancer.This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,tumor suppressor gene;p53;p53 protein;cancer;cell-growth signals;p53 protein;cell cycle regulation;DNA damage;DNA repair;programmed cell death;apoptosis;genome integrity;oncogenes;p53 mutations;mouse cancer models;Mdm2;microRNA;Genetics;Functional Genomics;Cancer,education;learning;free;,Tumor Suppressor Gene p53: How the Guardian of our Genome Prevents Cancer ,MIT Open CourseWare,N/A,any time,No,Xue; Wen ,Cancer is a leading cause of death worldwide. Cancer involves uncontrolled cell growth; resistance to cell death; failure to differentiate into a particular cell type; and increased cellular motility. A family of gate-keeper genes; known as tumor suppressor genes; plays important roles in preventing the initiation and progression of cancer. Among these; p53 is the most famous. Because of its essential role in maintaining genomic integrity; p53 is often called the guardian of the genome. During this course; we will study how p53 serves as a pivotal tumor suppressor gene in preventing cancer.This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Undergraduate,?
http://ocw.mit.edu/courses/biology/7-344-antibiotics-toxins-and-protein-engineering-spring-2007/,Antibiotics; Toxins; and Protein Engineering | Biology | MIT OpenCourseWare,The lethal poison Ricin (best known as a weapon of bioterrorism); Diphtheria toxin (the causative agent of a highly contagious bacterial disease); and the widely used antibiotic tetracycline have one thing in common: They specifically target the cell s translational apparatus and disrupt protein synthesis. In this course; we will explore the mechanisms of action of toxins and antibiotics; their roles in everyday medicine; and the emergence and spread of drug resistance. We will also discuss the identification of new drug targets and how we can manipulate the protein synthesis machinery to provide powerful tools for protein engineering and potential new treatments for patients with devastating diseases; such as cystic fibrosis and muscular dystrophy. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,lethal poison;Ricin;Diphtheria;contagious bacterial disease;tetracycline;protein synthesis;drug resistance;protein synthesis;protein engineering;cystic fibrosis;muscular dystrophy;ribosome;ribosomal proteins;rRNA;mRNA;tRNA;translation factors;genetic code;E. coli ribosome;prokaryotes;eukaryotes;Shiga;Diphtheria toxin;Pseudomonas exotoxin A;Chloramphenicol;Aminoglycoside;Biological Engineering;Pharmacology and Toxicology,education;learning;free;,Antibiotics; Toxins; and Protein Engineering ,MIT Open CourseWare,N/A,any time,No,Koehrer; Caroline and Sassanfar; Mandana ,The lethal poison Ricin (best known as a weapon of bioterrorism); Diphtheria toxin (the causative agent of a highly contagious bacterial disease); and the widely used antibiotic tetracycline have one thing in common: They specifically target the cell s translational apparatus and disrupt protein synthesis. In this course; we will explore the mechanisms of action of toxins and antibiotics; their roles in everyday medicine; and the emergence and spread of drug resistance. We will also discuss the identification of new drug targets and how we can manipulate the protein synthesis machinery to provide powerful tools for protein engineering and potential new treatments for patients with devastating diseases; such as cystic fibrosis and muscular dystrophy. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Undergraduate,?
http://ocw.mit.edu/courses/ocw-scholar/,OCW Scholar | MIT OpenCourseWare | Free Online Course Materials,OCW Scholar courses are designed for independent learners. They include more resources than a typical course and provide step-by-step guidance.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,OCW Scholar courses are designed for independent learners. They include more resources than a typical course and provide step-by-step guidance.,N/A,?
http://ocw.mit.edu/courses/biology/7-347-fueling-sustainability-engineering-microbial-systems-for-biofuel-production-spring-2011/,Fueling Sustainability: Engineering Microbial Systems for Biofuel Production | Biology | MIT OpenCourseWare,The need to identify sustainable forms of energy as an alternative to our dependence on depleting worldwide oil reserves is one of the grand challenges of our time. The energy from the sun converted into plant biomass is the most promising renewable resource available to humanity. This seminar will examine each of the critical steps along the pathway towards the conversion of plant biomass into ethanol. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Engineering;Microbial Systems;Biofuel Production;energy;plant biomass;cellulose;enzymes;bacteria;ethanol;cellulolytic enzymes;Cellulolytic Bacteria and Fungi;cellulases;cellulosomes;E. coli;yeast;Microbiology;Molecular Biology;Sustainability,education;learning;free;,Fueling Sustainability: Engineering Microbial Systems for Biofuel Production ,MIT Open CourseWare,N/A,any time,No,O Malley; Michelle ,The need to identify sustainable forms of energy as an alternative to our dependence on depleting worldwide oil reserves is one of the grand challenges of our time. The energy from the sun converted into plant biomass is the most promising renewable resource available to humanity. This seminar will examine each of the critical steps along the pathway towards the conversion of plant biomass into ethanol. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Undergraduate,?
http://ocw.mit.edu/courses/biology/7-06-cell-biology-spring-2007/index.htm,Cell Biology | Biology | MIT OpenCourseWare,This course deals with the biology of cells of higher organisms: The structure; function; and biosynthesis of cellular membranes and organelles; cell growth and oncogenic transformation; transport; receptors; and cell signaling; the cytoskeleton; the extracellular matrix; and cell movements; chromatin structure and RNA synthesis.,Biology;cells;organisms;biosynthesis;cellular membranes;organelles;cell growth;oncogenic transformation;transport;receptors;cell signaling;cytoskeleton;extracellular matrix;matrix;cell movements;chromatin;RNA;RNA synthesis;Cell Biology,education;learning;free;,Cell Biology ,MIT Open CourseWare,N/A,any time,No,Ploegh; Hidde and Orr-Weaver; Terry ,This course deals with the biology of cells of higher organisms: The structure; function; and biosynthesis of cellular membranes and organelles; cell growth and oncogenic transformation; transport; receptors; and cell signaling; the cytoskeleton; the extracellular matrix; and cell movements; chromatin structure and RNA synthesis.,Undergraduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/index.htm,Brain and Cognitive Sciences | MIT OpenCourseWare | Free Online Course Materials,MIT Brain and Cognitive Sciences courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Brain and Cognitive Sciences courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/mathematics/18-821-project-laboratory-in-mathematics-spring-2013/,Project Laboratory in Mathematics | Mathematics | MIT OpenCourseWare,Project Laboratory in Mathematics is a course designed to give students a sense of what it s like to do mathematical research. In teams; students explore puzzling and complex mathematical situations; search for regularities; and attempt to explain them mathematically. Students share their results through professional-style papers and presentations. This course site was created specifically for educators interested in offering students a taste of mathematical research. This site features extensive description and commentary from the instructors about why the course was created and how it operates.,mathematics;research;communication;writing;presenting;LaTeX;teamwork;Mathematics;Communication,education;learning;free;,Project Laboratory in Mathematics ,MIT Open CourseWare,N/A,any time,No,Miller; Haynes and Stapleton; Nat and Glasman; Saul and Ruff; Susan ,Project Laboratory in Mathematics is a course designed to give students a sense of what it s like to do mathematical research. In teams; students explore puzzling and complex mathematical situations; search for regularities; and attempt to explain them mathematically. Students share their results through professional-style papers and presentations. This course site was created specifically for educators interested in offering students a taste of mathematical research. This site features extensive description and commentary from the instructors about why the course was created and how it operates.,Undergraduate,?
http://ocw.mit.edu/courses/this-course-at-mit/,This Course at MIT | MIT OpenCourseWare | Free Online Course Materials,N/A,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-003-signals-and-systems-fall-2011/,Signals and Systems | Electrical Engineering and Computer Science | MIT OpenCourseWare,6.003 covers the fundamentals of signal and system analysis; focusing on representations of discrete-time and continuous-time signals (singularity functions; complex exponentials and geometrics; Fourier representations; Laplace and Z transforms; sampling) and representations of linear; time-invariant systems (difference and differential equations; block diagrams; system functions; poles and zeros; convolution; impulse and step responses; frequency responses). Applications are drawn broadly from engineering and physics; including feedback and control; communications; and signal processing.,;Signal Processing,education;learning;free;,Signals and Systems ,MIT Open CourseWare,N/A,any time,No,Freeman; Dennis ,6.003 covers the fundamentals of signal and system analysis; focusing on representations of discrete-time and continuous-time signals (singularity functions; complex exponentials and geometrics; Fourier representations; Laplace and Z transforms; sampling) and representations of linear; time-invariant systems (difference and differential equations; block diagrams; system functions; poles and zeros; convolution; impulse and step responses; frequency responses). Applications are drawn broadly from engineering and physics; including feedback and control; communications; and signal processing.,Undergraduate,?
http://ocw.mit.edu/courses/audio-video-courses/mit-opencourseware-video-distribution-partners/,MIT OpenCourseWare Video Distribution Partners | MIT OpenCourseWare | Free Online Course Materials,N/A,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/writing-and-humanistic-studies/21w-758-genre-fiction-workshop-spring-2013/,Genre Fiction Workshop | Writing and Humanistic Studies | MIT OpenCourseWare,Some argue that genre fiction is only a marketing category; but other critics say that different genres meet specific expectations of readers.  This course examines these different agreements of what the reader wants and what the writer provides under the aegis of different genres.  We will look at how genres are divided into subgenres; and how they are combined into cross-genre work; always keeping in mind the Reader-Writer Contact that is at the heart of genre writing.  We shall also think about the ways in which crossing genres has led to the establishment of new genres (steampunk; preternatural romance) and strongly established subgenres (historical mystery; urban fantasy).,writing;creative writing;fiction;fiction writing;writing fiction;genre fiction;genre;genres;fantasy;fantasy writing;science fiction;mystery;historical fiction;preternatural romance;horror;steampunk;workshop;revision;American Literature;Creative Writing;Fiction,education;learning;free;,Genre Fiction Workshop ,MIT Open CourseWare,N/A,any time,No,Lewitt; Shariann ,Some argue that genre fiction is only a marketing category; but other critics say that different genres meet specific expectations of readers.  This course examines these different agreements of what the reader wants and what the writer provides under the aegis of different genres.  We will look at how genres are divided into subgenres; and how they are combined into cross-genre work; always keeping in mind the Reader-Writer Contact that is at the heart of genre writing.  We shall also think about the ways in which crossing genres has led to the establishment of new genres (steampunk; preternatural romance) and strongly established subgenres (historical mystery; urban fantasy).,Undergraduate,?
