URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DECRIPTION,LEVEL,ISVALID?
https://redhoop.com/open2study-innovation-for-powerful-outcomes-innovate-7738-2.html,'Online Course - Innovation for Powerful Outcomes (Innovate)','It s an online Business course offered by Open2Study. Price: Free. Duration: 4 weeks.  Click to learn more and find similar courses.','Innovation for Powerful Outcomes (Innovate); Open2Study; online Business courses',N/A,'Online Course - Innovation for Powerful Outcomes (Innovate)',Open2Study,Free,'4 weeks',No,'Dr. Noordin Shehabuddeen','Innovation involves transformative thinking and the genuine ability to cultivate and pick the lucrative fruits of our creative labour. In this course; you will develop an appreciation for a range of tools and concepts that can help make innovation happen. This course will feature original content and fresh thinking. It contains a stimulating mix of creative experiments; intriguing innovation examples; practical tools and robust concepts. These will help you induce creativity; gain deep customer insights; and develop an appreciation for creating a compelling innovation strategy.','Appropriate for all',yes
https://redhoop.com/khan-academy-key-issues-for-the-study-of-ap-art-history-15012-2.html,'Online Course - Key issues for the study of AP Art History','It s an online Education course offered by Khan Academy. Price: Free Click to learn more and find similar courses.','Key issues for the study of AP Art History; Khan Academy; online Education courses',N/A,'Online Course - Key issues for the study of AP Art History','Khan Academy',Free,N/A,No,N/A,N/A,'Appropriate for all',yes
https://redhoop.com/open2study-mobile-robotics-robo-11014-2.html,'Online Course - Mobile Robotics (ROBO)','It s an online Technology course offered by Open2Study. Price: Free. Duration: 4 weeks.  Click to learn more and find similar courses.','Mobile Robotics (ROBO); Open2Study; online Technology courses',N/A,'Online Course - Mobile Robotics (ROBO)',Open2Study,Free,'4 weeks',No,'Dr. Michelle Dunn','From the surface of Mars to your living room floor; mobile robots can be found in some surprising places. Together weâ??ll explore how and why. Weâ??ll look at how robots move; how they sense the world around them and how they make decisions. Then weâ??ll put all this together and apply what weâ??ve learned to build our own mobile robot.','Appropriate for all',yes
https://redhoop.com/khan-academy-big-questions-in-modern-contemporary-art-5667-2.html,'Online Course - Big Questions in Modern and Contemporary Art','It s an online Humanities course offered by Khan Academy. Price: Free Click to learn more and find similar courses.','Big Questions in Modern and Contemporary Art; Khan Academy; online Humanities courses',N/A,'Online Course - Big Questions in Modern and Contemporary Art','Khan Academy',Free,N/A,No,N/A,'Why is that art? Can art be an idea? Does art have to represent the world we see?','Appropriate for all',yes
https://redhoop.com/udemy-the-bootstrappers-guide-to-the-mobile-web-4280-2.html,'Online Course - The Bootstrapper s Guide to the Mobile Web','It s an online Business course offered by Udemy. Price: Free. Duration: 1.5 hours.  Click to learn more and find similar courses.','The Bootstrapper s Guide to the Mobile Web; Udemy; online Business courses',N/A,'Online Course - The Bootstrapper s Guide to the Mobile Web',Udemy,Free,'1.5 hours',Yes,'Deltina Hay','This class is based on the book; The Bootstrapper s Guide to the Mobile Web; and hosted by the book s author; Deltina Hay. Topics covered include: What is the Mobile Web Why you need a Mobile Website Mobile Website Solutions Mobile Website Issues An Introduction to Mobile Apps Mobile App Solutions Mobile App Issues Other Mobile Marketing Tactics The Bootstrapper s Guide to the Mobile Web - published by Quill Driver Books - can be found wherever print books or e-books are sold and at TheBootstrappersGuide.com.','Appropriate for all',yes
https://redhoop.com/khan-academy-11-what-is-big-history-11787-2.html,'Online Course - 1.1 What Is Big History','It s an online Other course offered by Khan Academy. Price: Free Click to learn more and find similar courses.','1.1 What Is Big History; Khan Academy; online Other courses',N/A,'Online Course - 1.1 What Is Big History','Khan Academy',Free,N/A,No,N/A,'What is Big History? How does it differ from other courses and what are of the major themes it emphasizes?','Appropriate for all',yes
https://redhoop.com/coursera-genomic-and-precision-medicine-10933-2.html,'Online Course - Genomic and Precision Medicine','It s an online Math and Science course offered by Coursera. Price: Free. Duration: 7 weeks.  Click to learn more and find similar courses.','Genomic and Precision Medicine; Coursera; online Math and Science courses',N/A,'Online Course - Genomic and Precision Medicine',Coursera,Free,'7 weeks',Yes,N/A,'Precision medicine has the potential to change fundamentally how health care is practiced; but requires a health care workforce that understands the complexities of this field. One important component of Precision Medicine is the use of an individual’s genomic information to offer targeted treatment; tailored to the individual. Our course aims to provide participants with some baseline knowledge of genomics; an overview of the clinical applications of genomic medicine; the skills to evaluate the clinical validity and utility of new tests; and an appreciation of the associated ethical and social issues inherent in this field.  The course is geared toward practicing health care providers; although it should be accessible to anyone with a background in the biological sciences and a basic understanding of genetics.  It is designed to be succinct and clinically-focused; offering both conceptual and practical information about real-world applications of genomics.  The first two lessons offer a basic primer on molecular genomics relevant to the individual patient as well as to patient populations. The remaining five lessons focus on five applications of genomics and present the material as case studies; highlighting the strengths; limitations; and issues that arise in the use of each test.','Appropriate for all',yes
https://redhoop.com/udemy-quick-start-excel-getting-started-with-excel-13480-2.html,'Online Course - Quick Start Excel: Getting Started With Excel','It s an online Technology course offered by Udemy. Price: Free. Duration: 37 mins.  Click to learn more and find similar courses.','Quick Start Excel: Getting Started With Excel; Udemy; online Technology courses',N/A,'Online Course - Quick Start Excel: Getting Started With Excel',Udemy,Free,'37 mins',Yes,'Jennifer Bailey','Microsoft s Excel 2013 for Windows is a very useful and powerful piece of software - but it can appear daunting if you have never used it before. Jennifer will teach you step-by-step how to create a basic spreadsheet (using the example of a basic timesheet). She covers how to format cells; enter data; autofill; basic formulas and absolute referencing which will get you started quickly. By the end of this introductory course; Jennifer gets you feeling confident about creating your first basic Excel spreadsheet.As an example she uses a timesheet so that you can use this yourself to calculate your hours worked; overtime; net and gross pay.','Appropriate for all',yes
https://redhoop.com/udemy-iphone-app-design-how-to-make-a-top-selling-iphone-app-with-great-design-199-2.html,'Online Course - iPhone App Design: How To Make A Top-Selling iPhone App With Great Design','It s an online Technology course offered by Udemy. Price: Free. Duration: 1 hour.  Click to learn more and find similar courses.','iPhone App Design: How To Make A Top-Selling iPhone App With Great Design; Udemy; online Technology courses',N/A,'Online Course - iPhone App Design: How To Make A Top-Selling iPhone App With Great Design',Udemy,Free,'1 hour',Yes,'Tope A','The App Store has become crowded with over 500;000 apps. To stand out in such an ocean of apps; yours has to look unique and the best way to look unique is to have great iPhone App design. Top-selling apps like Evernote; On this Day; Momento; Awesome Note all have design in their DNA.  This course will show you how to take a boring looking app and create a beautiful looking one with a custom design. Take the course and let s get started; it s free!','Appropriate for all',yes
https://redhoop.com/free-invest-online-courses.html,'Free Invest Online Courses','71 Free Online Invest Video Courses at RedHoop.com','Online courses; online classes; free online courses; free online classes; online education; education video; educational video; MOOC',N/A,'Free Invest Online Courses',N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
https://redhoop.com/udemy-the-psychology-of-personality-a-video-textbook-950-2.html,'Online Course - The Psychology of Personality -- A Video Textbook','It s an online Social Sciences course offered by Udemy. Price: $39. Duration: 5.5 hours.  Click to learn more and find similar courses.','The Psychology of Personality -- A Video Textbook; Udemy; online Social Sciences courses',N/A,'Online Course - The Psychology of Personality -- A Video Textbook',Udemy,$39 ,'5.5 hours',Yes,'Dr. Don J. Sharpsteen','Personalityis your relatively unique and consistent expressions of behavioral characteristics.  Where do those patterns of behavior come from?  What makes yours different from everyone else s?  And is it even possible that your behavior isn t as consistent as you might like to think? The videos for this course will explore some of the key issues in the study of Psychology of Personality; and describe several major theoretical frameworks for Understanding Yourself; what it isinsideyou that organizes your behavior into a stable; distinct personality.','Appropriate for all',yes
https://redhoop.com/paid-italian-online-courses.html,'Paid Italian Online Courses','16 Paid Online Italian Video Courses at RedHoop.com','Online courses; online classes; free online courses; free online classes; online education; education video; educational video; MOOC',N/A,'Paid Italian Online Courses',N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
https://redhoop.com/creativelive-powerful-plug-ins-8386-2.html,'Online Course - Powerful Plug-Ins','It s an online Design course offered by creativeLIVE. Price: $59 Click to learn more and find similar courses.','Powerful Plug-Ins; creativeLIVE; online Design courses',N/A,'Online Course - Powerful Plug-Ins',creativeLIVE,$59 ,N/A,No,'William Buckingham','Since 1991; ThePowerXChange and XChange UK have specialized in workflow automation solutions; Adobe Plug-ins and utilities that automate repetitive; labor-intensive and time consuming tasks and add valuable features that offer immediate ROI in design and production environments. Automated catalog layout and creation; fast and easy PDF imposition; conversion of PDFs to formatted InDesign files; 3D modeling made easy and more! These proven products save users time and money and add powerful capabilities to your design and production arsenal.','Appropriate for all',yes
https://redhoop.com/khan-academy-14-origin-stories-11789-2.html,'Online Course - 1.4 Origin Stories','It s an online Other course offered by Khan Academy. Price: Free Click to learn more and find similar courses.','1.4 Origin Stories; Khan Academy; online Other courses',N/A,'Online Course - 1.4 Origin Stories','Khan Academy',Free,N/A,No,N/A,'An origin story is a culture’s reflections about the beginning of the Universe; the Earth; and life; stitched together into a narrative.','Appropriate for all',yes
https://redhoop.com/udemy-how-to-write-a-how-to-book-4754-2.html,'Online Course - How to Write a How-to Book','It s an online Lifestyle course offered by Udemy. Price: $9. Duration: 6.5 hours.  Click to learn more and find similar courses.','How to Write a How-to Book; Udemy; online Lifestyle courses',N/A,'Online Course - How to Write a How-to Book',Udemy,$9 ,'6.5 hours',Yes,'Peter Abundant','How long have you ve been wanting to write your book? Why; write just one book when you can now write dozens of books in a matter of a few months. Build a publishing empire! Writing a book can be hard work if you don t know what you are doing. It can also take a long time to write a single book. NOT ANYMORE! Author; Peter Abundant is sharing his guaranteed 7 day plan; the  Fast Book Formula  to help you get your books done quick. He writes a book per week using this system and you can too! Peter Abundant believes in the Information age we are currently living in and feels everyone should contribute to it.  Everyone wants information so why not be the one who give it to them?  In this online course you will learn how to write a Book from beginning to end.  The system teaches you how to come up with money topics and niches just for you to write about. He show you how to put any experience you ve had into a book; he even shows you how to put any experience you want to have into a book! You ll learn the importance of a great title for your book; The 4 questions you must answer in your title; and how to use your title to get on the front page of Google s organic search results. You ll learn how to submit your book to traditional publishing companies. You ll learn how to self-publish your book and sell it on Amazon; Google and Lulu. You ll master the repeatable  Fast Book Formula  and know how to write as many How-To Books as you want; FAST!You ll learn how to schedule your writing time effectively. You ll learn how to build the structure of your book with an outline system (This is what makes writing easy). You ll learn how to create a basic framework and a ladder framework for your book. You ll learn how to support your book with testimonials; quotes; statistics; and personal stories. You ll also get the  How-To Book Blueprint  to guide you through the process. You ll learn how to get affordable editors You ll learn how to get graphic designers to design your books covers. ','Appropriate for all',yes
https://redhoop.com/creativelive-apple-ibooks-author-boot-camp-6328-2.html,'Online Course - Apple iBooks Author Boot Camp','It s an online Design course offered by creativeLIVE. Price: $39 Click to learn more and find similar courses.','Apple iBooks Author Boot Camp; creativeLIVE; online Design courses',N/A,'Online Course - Apple iBooks Author Boot Camp',creativeLIVE,$39 ,N/A,No,'Erica Gamet','Learn digital publication with this tutorial of Apple s iBooks Author! iBooks Author gives the publisher a simple way to create stunning multi-gesture books. iBooks Author is a creator of digital textbooks; but the software can be used to assemble a variety of visually-rich interactive publications formatted for the iPad. This class teaches you how to choose a theme; import existing text and images; create interactivity with the built-in widgets; add videos and sounds; and publish your finished masterpiece.','Appropriate for all',yes
https://redhoop.com/khan-academy-carolingian-7486-2.html,'Online Course - Carolingian','It s an online Humanities course offered by Khan Academy. Price: Free Click to learn more and find similar courses.','Carolingian; Khan Academy; online Humanities courses',N/A,'Online Course - Carolingian','Khan Academy',Free,N/A,No,N/A,'Charlemagne; King of the Franks and later Holy Roman Emperor; instigated a cultural revival known as the Carolingian Renaissance.','Appropriate for all',yes
https://redhoop.com/udemy-trust-without-it-youre-sunk-9948-2.html,'Online Course - Trust: Without it You re Sunk','It s an online Business course offered by Udemy. Price: $29 Click to learn more and find similar courses.','Trust: Without it You re Sunk; Udemy; online Business courses',N/A,'Online Course - Trust: Without it You re Sunk',Udemy,$29 ,N/A,Yes,'Enspark Interactive LLC','At its very essence; business is all about trust. Consumers give businesses money with the trust that the businesses will provide them the service they need. Businesses provide services with the trust that consumers will pay them for their labors. Without trust; crucial internal business practices such as accountability and delegation would crumble and nothing would ever be accomplished. In this course; you will learn what trust is and how to increase it in your workplace so as to build strong connections that will move your career and your business forward toward progress and success. This course will take you about 30 minutes to complete. Note: To preview this course please hit the free preview button for a 5 minute demo. Due to the SCORM format of our course it is currently not available on mobile platforms; but we will work on adding this functionality going forward.','Appropriate for all',yes
https://redhoop.com/udemy-speak-italian-like-an-italiano-11357-2.html,'Online Course - Speak Italian Like an Italiano','It s an online Languages course offered by Udemy. Price: $29. Duration: 4.5 hours.  Click to learn more and find similar courses.','Speak Italian Like an Italiano; Udemy; online Languages courses',N/A,'Online Course - Speak Italian Like an Italiano',Udemy,$29 ,'4.5 hours',Yes,'Manu Venditti','Would you like to be able to pronounce Italian well and impress your friends? Would you like to be able to read anything in Italian correctly; with the authentic Italian melody? In this in-dept course you will learn exactly that! If you: like to eat at Italian restaurants are planning a trip to Italy are currently a student of Italian or intend to start learning it soon are an opera signer or musician love all things Italian... then this course will help you! This is the most comprehensive course ever created on Italian pronunciation. No stone is left unturned and within just 3 hours you will be able to: read any Italian word correctly have great pronunciation write any Italian word that you know or hear We start with understanding what makes Italian easy to pronounce and why some things often trick you; when it comes to speaking Italian (but not after this course!) We then have a close look at the 2 most important factors for an excellent Italian pronunciation. We then practice all the sounds of the Italian language and help you master them; for that real; authentic Italian flare. We ll also look in detail at tricky spelling scenarios; and clear all doubts about the pronunciation of words like  bruschetta ;  prosciutto ; gnocchi  and many others. And we ll finish strong with understanding where to stress each word (Italian has no rules but I will share some tricks!) and how to speak entire sentences with the right intonation and cadence. When you finish the course you will also get a Certificate of Completion! What s Inside The course has 44 Lectures; built around 18 Core Lessons. For each lesson you get: Instructional Video (me on camera; with my whiteboard) Downloadable mp3 to take the lesson with you Downloadable PDF with the Lesson Notes and Vocab Lists Practice Video (interactive slideshow with the correct pronunciation of over 200 words) Downloadable PDF of the Practice Video You can rest assured that all your doubts will be cleared by the time you complete the course. If not; you can always ask me Questions in the QandA Section! I m there to support you. Grazie; Manu','Appropriate for all',yes
https://redhoop.com/pluralsight-twilio-service-basics-6853-2.html,'Online Course - Twilio Service Basics','It s an online Technology course offered by PluralSight. Price: Free Trial. Duration: 01:07:36.  Click to learn more and find similar courses.','Twilio Service Basics; PluralSight; online Technology courses',N/A,'Online Course - Twilio Service Basics',PluralSight,'Free Trial',1:07:36,Yes,'Robert Horvick','This course introduces the Twilio cloud services for integrating SMS and voice call behaviors into your applications. Topics covered include sending and receiving SMS messages; placing and receiving voice calls; interacting with the caller via keypresses and recording and playing back calls over the web.',Intermediate,yes
https://redhoop.com/udemy-basic-investing-concepts-12188-2.html,'Online Course - Basic Investing Concepts','It s an online Business course offered by Udemy. Price: Free. Duration: 43 mins.  Click to learn more and find similar courses.','Basic Investing Concepts; Udemy; online Business courses',N/A,'Online Course - Basic Investing Concepts',Udemy,Free,'43 mins',Yes,'Christopher Tan','This is an introductory course on basic investing concepts. Learn about the following investing concepts: Investment objectives Risk-return trade-off Investment strategies Sub-concepts include: What you need to know before investing Understanding your investment objectives Understanding your investment horizon Life Stages of an individual Market risk vs specific risk Return on investment Portfolio Diversification Asset Allocation Market Timing Constraints on Investment Strategies','Appropriate for all',yes
https://redhoop.com/udemy-microsoft-excel-2010-training-beginner-to-advanced-level-14897-2.html,'Online Course - Microsoft Excel 2010 Training - Beginner to Advanced Level','It s an online Business course offered by Udemy. Price: Free. Duration: 6.5 hours.  Click to learn more and find similar courses.','Microsoft Excel 2010 Training - Beginner to Advanced Level; Udemy; online Business courses',N/A,'Online Course - Microsoft Excel 2010 Training - Beginner to Advanced Level',Udemy,Free,'6.5 hours',Yes,'Ramzan Rajani','A Verifiable Certificate of Completion is presented to all students who undertake this course. As you know Excel is the most used computer application in the world. Because of this; Excel skills are in high demand by most of the organizations. In this course will teach you how to use Microsoft Excel 2010 from the most basic Level to the most advanced features. Each topic in this course is presented in a separate video lesson; allowing you to learn as much or as little as you like at a time. You are also able to watch videos as many times as you like if you need to. This course will teach you how to save time and be productive. Happy Learning !','Appropriate for all',yes
https://redhoop.com/paid-creativity-online-courses.html,'Paid Creativity Online Courses','936 Paid Online Creativity Video Courses at RedHoop.com','Online courses; online classes; free online courses; free online classes; online education; education video; educational video; MOOC',N/A,'Paid Creativity Online Courses',N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
https://redhoop.com/coursera-diabetes-diagnosis-treatment-and-opportunities-4943-2.html,'Online Course - Diabetes: Diagnosis; Treatment; and Opportunities','It s an online Math and Science course offered by Coursera. Price: Free. Duration: 5 weeks.  Click to learn more and find similar courses.','Diabetes: Diagnosis; Treatment; and Opportunities; Coursera; online Math and Science courses',N/A,'Online Course - Diabetes: Diagnosis; Treatment; and Opportunities',N/A,N/A,N/A,N/A,N/A,'Over a dozen faculty from UC San Francisco s Schools of Pharmacy; Medicine; Nursing; and Dentistry will present on topics including the epidemiology; diagnosis; nutritional strategies for self-management; the role of insulin in managing diabetes; effects of diabetes on oral/dental health; and current research in the field.','Appropriate for all',yes
https://redhoop.com/khan-academy-ancient-cryptography-3017-2.html,'Online Course - Ancient cryptography','It s an online Math and Science course offered by Khan Academy. Price: Free Click to learn more and find similar courses.','Ancient cryptography; Khan Academy; online Math and Science courses',N/A,'Online Course - Ancient cryptography','Khan Academy',Free,N/A,No,N/A,'Explore how we have hidden secret messages through history.','Appropriate for all',yes
